brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,horsepower,engine_capacity,cylinders
Tesla,Model X P90D,2016,91000,Electric,A/T,Silver,White,0,1,39500,691.0,0.0,0.0
Lexus,IS-F Base,2010,41500,Gasoline,8-Speed A/T,Blue,Black,1,1,44800,416.0,5.0,8.0
BMW,335 i,2010,91545,Gasoline,6-Speed A/T,Black,Black,0,1,13000,300.0,3.0,6.0
Audi,RS 7 4.0T,2022,4100,Hybrid,8-Speed A/T,Blue,Black,0,1,162500,591.0,4.0,8.0
Buick,Lucerne CXL,2006,110000,Gasoline,A/T,Gold,Beige,0,1,5000,275.0,4.6,8.0
Lincoln,MKX Reserve,2016,88000,Gasoline,Transmission w/Dual Shift Mode,Black,Black,0,1,18500,335.0,2.7,6.0
Nissan,Armada Platinum,2018,42833,Gasoline,Transmission w/Dual Shift Mode,Blue,Gray,0,1,37000,390.0,5.6,8.0
Porsche,911 Carrera,2020,23278,Gasoline,Automatic,Blue,Unknown,0,0,114998,365.0,3.0,6.0
BMW,435 Gran Coupe i,2015,60100,Gasoline,8-Speed A/T,Blue,Beige,0,1,24995,300.0,3.0,6.0
Jeep,Wagoneer Series III,2022,17381,Gasoline,8-Speed Automatic,Velvet Red Pearlcoat,Global Black,0,1,69685,285.0,5.7,8.0
Cadillac,ATS 2.5L,2013,63172,Gasoline,A/T,Black,Black,1,1,12995,202.0,2.5,4.0
Ford,Transit Connect XLT,2010,72000,Gasoline,A/T,White,Gray,1,1,10900,136.0,2.0,4.0
Kia,EV6 GT-Line,2022,4820,Electric,1-Speed A/T,Red,Black,0,1,47500,320.0,0.0,0.0
Audi,S5 3.0T Premium Plus,2014,67900,Gasoline,6-Speed M/T,Silver,Black,0,0,25990,333.0,3.0,6.0
Toyota,Tundra SR,2018,51000,Gasoline,A/T,Black,Gray,0,1,38000,381.0,5.7,8.0
Jeep,Wrangler Unlimited Freedom Edition,2013,54500,Gasoline,A/T,Green,Black,0,1,35000,285.0,3.6,6.0
Maserati,Quattroporte Base,2006,61840,Gasoline,Transmission w/Dual Shift Mode,Gray,Beige,0,1,16500,394.0,4.2,8.0
Mercedes-Benz,CLS-Class CLS500,2006,28950,Gasoline,7-Speed A/T,Blue,Beige,0,0,16750,302.0,5.0,8.0
GMC,Sierra 3500 SLE,2002,300000,Diesel,5-Speed A/T,Black,Gray,1,1,5000,300.0,6.6,8.0
Nissan,Frontier SL,2011,103400,Gasoline,5-Speed A/T,Gray,Gray,1,1,17000,261.0,4.0,6.0
BMW,M5 Base,2023,816,Gasoline,8-Speed Automatic,Alpine White,Black,0,0,109900,335.0,4.4,8.0
Porsche,911 R,2016,719,Gasoline,6-Speed Manual,White,Black / Brown,0,1,489000,365.0,4.0,6.0
Land,Rover Defender X-Dynamic SE,2023,3678,Hybrid,Automatic,Fuji White,Black,0,0,81998,380.0,3.0,8.0
Ford,F-150 XL,2016,107000,E85 Flex Fuel,6-Speed A/T,White,Gray,1,1,22000,385.0,5.0,8.0
BMW,M8 Competition,2022,5018,Gasoline,Automatic,Unknown,Sakhir Orange/Black,0,0,114998,335.0,4.4,6.0
Porsche,911 Carrera S,2010,13850,Gasoline,6-Speed M/T,Black,Black,0,1,71400,385.0,3.8,6.0
Volvo,XC70 3.2,2008,46700,Gasoline,6-Speed A/T,White,Beige,0,0,11400,235.0,3.2,6.0
Chrysler,300 Touring,2021,21478,Gasoline,Automatic,Silver Mist,Black,0,0,27798,285.0,3.6,6.0
Honda,Insight EX,2020,64200,Hybrid,CVT Transmission,White,Black,1,1,20499,151.0,1.5,4.0
Porsche,Cayman S,2006,31075,Gasoline,5-Speed Automatic,Black,Black / Stone Grey,0,1,36250,365.0,3.4,6.0
Tesla,Model Y Performance,2022,25250,Electric,1-Speed A/T,White,White,0,1,47800,455.0,0.0,0.0
BMW,M5 Competition,2020,35400,Gasoline,8-Speed A/T,Orange,Black,0,1,71950,617.0,4.4,8.0
Audi,S4 4.2 quattro,2004,74030,Gasoline,6-Speed M/T,Silver,Gray,0,1,16000,340.0,4.2,8.0
Ford,F-250 Platinum,2021,48549,Diesel,Automatic,Antimatter Blue Metallic,Black,0,0,69998,325.0,6.7,8.0
Kia,Seltos S,2023,5182,Gasoline,A/T,White,Black,0,1,32500,146.0,2.0,4.0
RAM,ProMaster 2500 High Roof,2019,31681,Gasoline,A/T,White,Black,1,1,33500,280.0,3.6,6.0
BMW,M760 M760i xDrive,2020,23430,Gasoline,Automatic,White,Black,0,0,80998,335.0,6.6,6.0
Mercedes-Benz,E-Class E 400,2015,30300,Gasoline,A/T,White,Black,1,1,29000,329.0,3.0,6.0
Cadillac,XTS Luxury,2016,112000,Gasoline,A/T,Blue,Beige,1,1,14599,304.0,3.6,6.0
INFINITI,Q50 Premium,2014,127356,Gasoline,7-Speed A/T,Black,Black,1,1,19990,328.0,3.7,6.0
Volkswagen,Touareg V6 Executive,2017,50600,Gasoline,8-Speed A/T,Red,Brown,1,1,28890,280.0,3.6,6.0
Chevrolet,Suburban 1500 LTZ,2011,194000,E85 Flex Fuel,6-Speed A/T,Black,Black,0,1,9950,320.0,5.3,8.0
Toyota,Tundra SR5,2021,33455,Gasoline,6-Speed A/T,Green,Black,0,1,44750,381.0,5.7,8.0
BMW,X1 sDrive28i,2022,43000,Gasoline,8-Speed A/T,Gray,Black,0,1,35750,228.0,2.0,4.0
Mercedes-Benz,GL-Class GL 550 4MATIC,2016,46102,Gasoline,7-Speed A/T,Black,Beige,0,1,35300,429.0,4.7,8.0
Cadillac,XTS Luxury,2019,59000,Gasoline,6-Speed A/T,Black,Black,0,1,21000,304.0,3.6,6.0
Jaguar,XJ8 Base,2004,134000,Gasoline,6-Speed A/T,Black,Beige,1,1,9500,294.0,4.2,8.0
Chevrolet,Camaro ZL1,2020,3715,Gasoline,A/T,Black,Black,0,1,150000,650.0,6.2,8.0
Mercedes-Benz,Sprinter 2500,2012,100245,Diesel,A/T,White,Unknown,1,1,24000,188.0,3.0,6.0
Mercedes-Benz,C-Class C 300 4MATIC,2022,8583,Gasoline,9-Speed Automatic,Cirrus Silver Metallic,AMG Black,0,0,42999,362.0,2.0,4.0
Dodge,Dakota SLT,2003,141800,Gasoline,A/T,Red,Gray,1,1,5700,230.0,4.7,8.0
Audi,A5 2.0T Premium Plus,2012,77000,Gasoline,8-Speed A/T,White,Black,0,1,13800,211.0,2.0,4.0
Audi,A5 2.0T Premium,2018,67035,Gasoline,Transmission w/Dual Shift Mode,Pink,Brown,1,1,31500,252.0,2.0,4.0
Audi,S5 3.0 Premium Plus,2012,61450,Gasoline,7-Speed A/T,White,Gray,0,1,19500,333.0,3.0,6.0
Porsche,Panamera GTS,2015,39500,Gasoline,Transmission w/Dual Shift Mode,Black,Black,0,1,52590,440.0,4.8,8.0
Mercedes-Benz,AMG GT C,2020,6600,Gasoline,Transmission w/Dual Shift Mode,Black,Beige,0,1,128900,550.0,4.0,8.0
Chevrolet,Camaro 2SS,2023,2300,Gasoline,6-Speed M/T,Red,Black,0,1,51500,455.0,6.2,8.0
Audi,Q7 Premium Plus,2023,10601,Hybrid,Automatic,Mythos Black,Black,0,0,61998,333.0,3.0,6.0
Maserati,GranTurismo MC,2018,18000,Gasoline,Transmission w/Dual Shift Mode,Red,Black,0,1,67000,454.0,4.7,8.0
GMC,Sierra 2500 AT4,2022,31681,Gasoline,Automatic,Cayenne Red Tintcoat,Jet Black,1,0,67963,355.0,6.6,8.0
Cadillac,XT6 Sport AWD,2020,24114,Gasoline,9-Speed Automatic,Garnet Red Metallic,Jet Black,1,0,49427,400.0,3.6,6.0
Jeep,Grand Cherokee L Laredo,2022,22109,Gasoline,Automatic,Bright White Clearcoat,Global Black,0,0,43389,285.0,3.6,6.0
Chevrolet,Avalanche 1500 LT,2012,148000,E85 Flex Fuel,A/T,Black,Black,0,1,18000,320.0,5.3,8.0
BMW,M5 Base,2018,41000,Gasoline,Transmission w/Dual Shift Mode,White,White,0,1,60200,600.0,4.4,8.0
Nissan,Titan SE,2009,127600,E85 Flex Fuel,A/T,Brown,Gray,0,1,19500,317.0,5.6,8.0
Dodge,Ram 1500 SRT-10 Quad Cab,2005,138450,Gasoline,4-Speed A/T,Red,Black,1,1,19000,500.0,8.3,10.0
GMC,Sierra 1500 SLT,2013,230000,E85 Flex Fuel,A/T,White,Black,0,1,15500,315.0,5.3,8.0
Lexus,RX 350 F Sport,2017,53649,Gasoline,A/T,Black,Red,0,1,33000,295.0,3.5,6.0
Mercedes-Benz,GL-Class GL 450 4MATIC,2012,174000,Gasoline,7-Speed A/T,Black,Black,1,1,11999,335.0,4.6,8.0
INFINITI,QX80 Luxe,2022,49860,Gasoline,Automatic,Black Obsidian,Graphite,1,1,47645,328.0,5.6,8.0
Mercedes-Benz,AMG C 63 S,2021,13650,Gasoline,9-Speed A/T,Blue,Black,0,1,75000,503.0,4.0,8.0
BMW,528 i xDrive,2016,134000,Gasoline,A/T,Brown,Brown,1,1,13500,240.0,2.0,4.0
Porsche,911 Carrera,2014,78000,Gasoline,Transmission w/Dual Shift Mode,Brown,Brown,0,1,68000,350.0,3.4,6.0
Porsche,Boxster S,2005,65750,Gasoline,A/T,Blue,Gray,0,1,21750,280.0,3.2,6.0
BMW,X6 M Base,2021,18000,Gasoline,8-Speed A/T,Black,Black,0,1,94000,600.0,4.4,8.0
Ford,Mustang Premium,2007,121630,Gasoline,A/T,White,Black,0,1,9450,210.0,4.0,6.0
Rivian,R1S Launch Edition,2023,4500,Electric,1-Speed A/T,Silver,Gray,0,1,89999,835.0,0.0,0.0
Volvo,XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,2022,9408,Hybrid,8-Speed Automatic,Black,Gray,0,0,61999,281.0,2.0,4.0
BMW,528 i xDrive,2016,120000,Gasoline,A/T,White,White,0,1,16000,240.0,2.0,4.0
Cadillac,Escalade ESV Platinum,2016,168600,Gasoline,8-Speed A/T,White,Beige,0,1,29500,420.0,6.2,8.0
Chevrolet,Corvette Base,2004,43705,Gasoline,6-Speed M/T,Gray,Black,0,1,25900,350.0,5.7,8.0
Audi,A5 2.0T Premium,2013,111000,Gasoline,Transmission w/Dual Shift Mode,Blue,Beige,0,1,11500,211.0,2.0,4.0
Audi,TT 2.0T Premium,2012,64549,Gasoline,Transmission w/Dual Shift Mode,Silver,Black,0,1,17000,211.0,2.0,4.0
Buick,LaCrosse CX,2007,53000,Gasoline,4-Speed A/T,Red,Gray,0,1,6500,200.0,3.8,6.0
Chevrolet,Camaro 2SS,2017,13465,Gasoline,8-Speed A/T,White,Black,0,1,44900,455.0,6.2,8.0
Tesla,Model Y Long Range,2023,5844,Electric,A/T,White,Black,0,1,52000,425.0,0.0,0.0
BMW,M3 Base,2015,74000,Gasoline,M/T,Gray,Black,0,1,40000,425.0,3.0,6.0
Kia,Optima LX,2011,100331,Gasoline,A/T,Red,Unknown,1,1,6900,200.0,2.4,4.0
Toyota,Supra 3.0 Premium,2022,24850,Gasoline,A/T,Black,Black,0,1,53568,382.0,3.0,6.0
Lincoln,Nautilus Reserve,2021,17467,Gasoline,8-Speed Automatic,Pristine White,Slate,0,0,43860,304.0,2.0,4.0
Nissan,Pathfinder SL,2015,115000,Gasoline,A/T,Gray,Black,0,1,11995,260.0,3.5,6.0
BMW,X5 xDrive50i,2015,72000,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,1,1,26500,445.0,4.4,8.0
Mazda,MazdaSpeed3 Grand Touring,2008,162000,Gasoline,6-Speed M/T,Black,Black,1,1,6500,263.0,2.3,4.0
GMC,Yukon XL SLT,2017,47589,Gasoline,A/T,Black,Black,0,1,45500,355.0,5.3,8.0
Toyota,bZ4X Limited,2023,6548,Electric,Automatic,Wind Chill Pearl,Black,0,0,41999,268.0,0.0,0.0
RAM,ProMaster 2500 High Roof,2018,10339,Gasoline,6-Speed A/T,White,Gray,0,1,36990,280.0,3.6,6.0
RAM,1500 Classic SLT,2021,32092,Gasoline,8-Speed Automatic,Patriot Blue Pearlcoat,Black,0,1,35113,395.0,3.6,6.0
Lexus,GS 350 Base,2014,85275,Gasoline,Automatic,Nebula Gray Pearl,Black,1,0,23998,301.0,3.5,6.0
Hyundai,Tucson Limited,2016,138000,Gasoline,7-Speed A/T,Brown,Beige,0,1,10990,175.0,1.6,4.0
Chevrolet,SSR Base,2003,87500,Gasoline,A/T,Red,Black,0,1,16999,300.0,5.3,8.0
Maserati,GranTurismo Base,2013,34920,Gasoline,6-Speed A/T,Gray,Brown,0,1,38900,440.0,4.7,8.0
Tesla,Model X Performance,2020,27224,Electric,1-Speed Automatic,Black,Black,0,0,65999,455.0,0.0,0.0
BMW,M2 Base,2018,25000,Gasoline,7-Speed A/T,Black,Black,0,1,52000,365.0,3.0,6.0
Tesla,Model Y Long Range,2021,14642,Electric,A/T,Red,Black,0,1,48500,425.0,0.0,0.0
Subaru,Outback 2.5i Limited,2015,162000,Gasoline,CVT Transmission,Gray,Black,0,1,13999,175.0,2.5,4.0
Buick,Roadmaster Estate,1996,119500,Gasoline,4-Speed A/T,White,Beige,1,1,16999,260.0,5.7,8.0
Land,Rover Range Rover 5.0L Supercharged,2017,101800,Gasoline,A/T,Silver,Black,0,1,36500,510.0,5.0,8.0
Ford,Expedition Max XLT,2021,84351,Gasoline,10-Speed Automatic,Blue,Ebony,0,1,42691,325.0,3.5,6.0
Nissan,Leaf SL,2012,26930,Electric,1-Speed A/T,White,Beige,0,1,6700,107.0,0.0,0.0
Toyota,Tacoma TRD Pro,2019,40698,Gasoline,6-Speed,Super White,Black,0,0,42886,268.0,3.5,6.0
Mercedes-Benz,AMG GT 63 S 4-Door,2020,40000,Gasoline,9-Speed A/T,Black,Red,0,1,112500,630.0,4.0,8.0
BMW,230 i,2019,30000,Gasoline,8-Speed A/T,Blue,Beige,1,1,29000,248.0,2.0,4.0
Lexus,ES 350 Base,2007,78980,Gasoline,6-Speed A/T,Silver,Beige,1,1,10600,272.0,3.5,6.0
Porsche,911 Carrera S Cabriolet,2007,28844,Gasoline,6-Speed Manual,White,Beige,0,0,69995,365.0,3.8,6.0
Porsche,Taycan Turbo,2020,21028,Electric,Single-Speed Fixed Gear,BLACK,BEIGE,0,0,96900,365.0,0.0,0.0
Maserati,Levante Modena,2023,5409,Gasoline,8-Speed Automatic,Blu,Black,0,1,88950,405.0,3.0,6.0
Dodge,Challenger SRT Hellcat,2020,12700,Gasoline,8-Speed A/T,Black,Black,1,1,69900,717.0,6.2,8.0
Mazda,Mazda6 Touring,2021,19000,Gasoline,A/T,Blue,Black,0,0,25900,187.0,2.5,4.0
Audi,S4 3.0T Premium,2019,12000,Gasoline,A/T,Black,Black,0,1,48000,349.0,3.0,6.0
Ford,Mustang GT Premium,2016,25717,Gasoline,6-Speed M/T,Black,Black,0,1,33900,435.0,5.0,8.0
Tesla,Model Y Long Range,2022,12055,Electric,A/T,Blue,Black,0,1,44400,425.0,0.0,0.0
Audi,TTS 2.0T Premium Plus,2011,69700,Gasoline,6-Speed A/T,Orange,Unknown,1,1,23000,265.0,2.0,4.0
BMW,M2 Competition,2020,25013,Gasoline,7-Speed A/T,Black,Black,0,1,55000,405.0,3.0,6.0
Audi,Q4 e-tron Sportback Premium,2023,1156,Electric,A/T,Blue,Black,0,1,54900,295.0,0.0,0.0
BMW,740 i,2016,57939,Gasoline,8-Speed A/T,Gray,Black,0,1,27500,320.0,3.0,6.0
Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,52694,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,0,1,49999,385.0,3.0,6.0
Mercedes-Benz,S-Class S 550 4MATIC,2015,54000,Gasoline,7-Speed A/T,White,Beige,0,1,37000,449.0,4.7,8.0
Honda,S2000 Base,2002,110500,Gasoline,6-Speed M/T,Yellow,Red,0,1,27000,240.0,2.0,4.0
Chevrolet,Corvette Base,2000,97500,Gasoline,6-Speed M/T,Yellow,Black,0,1,10000,345.0,5.7,8.0
Chevrolet,Colorado Z71,2020,20909,Gasoline,Automatic,Red,Jet Black,0,1,35387,355.0,3.6,6.0
Mercedes-Benz,S-Class S 63 AMG,2013,77648,Gasoline,7-Speed A/T,Silver,Black,0,1,40000,536.0,5.5,8.0
Bentley,Continental GTC Base,2013,79422,Gasoline,8-Speed A/T,Black,Black,0,1,64000,616.0,6.0,12.0
GMC,Sierra 2500 SLE H/D Extended Cab,2002,53850,Gasoline,A/T,Silver,Gray,1,1,16900,340.0,8.1,8.0
Audi,SQ5 3.0T Premium,2020,21832,Gasoline,8-Speed A/T,Blue,Black,0,1,42000,349.0,3.0,6.0
Toyota,Corolla iM Base,2017,41932,Gasoline,6-Speed M/T,Black,Black,0,1,18700,137.0,1.8,4.0
GMC,Yukon XL SLT,2017,110000,Gasoline,A/T,Blue,Black,1,1,34999,355.0,5.3,8.0
Toyota,Tundra 1794,2020,67400,Gasoline,A/T,Black,Brown,0,1,47500,381.0,5.7,8.0
Subaru,WRX Premium,2017,62662,Gasoline,M/T,Red,Black,1,1,24000,268.0,2.0,4.0
Subaru,WRX Base,2015,102000,Gasoline,M/T,White,Black,1,1,18000,268.0,2.0,4.0
INFINITI,Q50 Premium,2014,79785,Gasoline,7-Speed A/T,Red,White,1,1,16488,328.0,3.7,6.0
Chevrolet,Suburban Premier,2017,166549,Gasoline,6-Speed A/T,White,Beige,1,1,24950,355.0,5.3,8.0
Toyota,Sequoia Limited,2006,190656,Gasoline,A/T,Black,Gray,1,1,8900,273.0,4.7,8.0
Porsche,Cayenne GTS,2009,135606,Gasoline,Transmission w/Dual Shift Mode,Black,Black,0,1,15000,405.0,4.8,8.0
Kia,Telluride S,2023,14700,Gasoline,8-Speed A/T,Blue,Black,0,1,39900,291.0,3.8,6.0
Mercedes-Benz,AMG E 63 S 4MATIC,2019,12985,Gasoline,9-Speed A/T,Gray,Black,1,1,96000,603.0,4.0,8.0
BMW,Z4 sDrive35is,2014,4200,Gasoline,Transmission w/Dual Shift Mode,White,Red,0,1,64995,335.0,3.0,6.0
Subaru,Impreza 2.0i Sport,2017,44000,Gasoline,5-Speed M/T,Red,Black,0,1,23500,152.0,2.0,4.0
Dodge,Dart SE,2015,66000,Gasoline,6-Speed M/T,Black,Black,0,1,12000,160.0,2.0,4.0
Land,Rover Range Rover P525 Westminster,2021,17945,Gasoline,8-Speed Automatic,Santorini Black Metallic,Ebony,0,0,89900,380.0,5.0,8.0
Nissan,370Z Base,2013,106700,Gasoline,6-Speed M/T,Red,Black,0,1,17500,332.0,3.7,6.0
Cadillac,Escalade ESV Luxury,2020,120000,Gasoline,10-Speed A/T,Black,Black,0,1,55000,420.0,6.2,8.0
Mercedes-Benz,E-Class E 350,2012,59600,Gasoline,Transmission w/Dual Shift Mode,White,Beige,0,1,19900,302.0,3.5,6.0
Kia,Optima Hybrid EX,2012,117220,Hybrid,A/T,Black,Black,0,1,8900,206.0,2.4,4.0
Chevrolet,Silverado 3500 LTZ,2022,85200,Diesel,10-Speed A/T,Silver,Gray,0,1,67500,445.0,6.6,8.0
Volkswagen,Golf GTI 2.0T SE 4-Door,2018,63450,Gasoline,6-Speed M/T,White,Black,0,1,24325,220.0,2.0,4.0
Dodge,Ram 1500 SRT-10,2004,73000,Gasoline,6-Speed M/T,Black,Gray,0,1,22500,500.0,8.3,10.0
Scion,tC Anniversary Edition,2014,115000,Gasoline,6-Speed M/T,Silver,Silver,0,1,11495,179.0,2.5,4.0
Land,Rover Range Rover 5.0L Supercharged Autobiography,2016,56000,Gasoline,8-Speed A/T,Black,Brown,0,1,49900,510.0,5.0,8.0
Lexus,LS 500 Base,2018,67296,Gasoline,"Automatic, 10-Spd",Unknown,Unknown,0,0,40900,301.0,3.5,6.0
Chevrolet,Suburban 1500 LT,2015,179200,Gasoline,6-Speed A/T,Black,Unknown,1,1,16000,355.0,5.3,8.0
Maserati,GranTurismo Base,2015,28000,Gasoline,6-Speed A/T,White,Red,0,1,44999,444.0,4.7,8.0
Porsche,911 Carrera Turbo,2003,155000,Gasoline,6-Speed M/T,Black,Black,0,1,55000,415.0,3.6,6.0
Hyundai,Sonata Hybrid Base,2012,154000,Hybrid,A/T,Green,Gray,1,1,8500,206.0,2.4,4.0
Cadillac,CTS Luxury,2012,62500,Gasoline,6-Speed A/T,Red,Beige,1,1,18955,270.0,3.0,6.0
BMW,323 Ci,2000,177700,Gasoline,5-Speed A/T,Silver,Black,0,1,2500,170.0,2.5,6.0
Tesla,Model 3 Standard Range Plus,2019,83700,Electric,A/T,Black,Black,1,1,26000,455.0,0.0,0.0
Nissan,370Z Touring,2012,65000,Gasoline,6-Speed M/T,Gray,Black,0,1,21500,332.0,3.7,6.0
Mercedes-Benz,GLS 450 Base 4MATIC,2018,62808,Gasoline,Automatic,Black,Unknown,1,0,38598,362.0,3.0,8.0
Ford,Mustang GT Premium,2021,3000,Gasoline,6-Speed M/T,Red,Black,0,1,49500,460.0,5.0,8.0
Audi,Q5 2.0T Premium,2012,119000,Gasoline,A/T,Gray,Unknown,0,1,12000,211.0,2.0,4.0
RAM,2500 Big Horn,2013,198868,Diesel,6-Speed A/T,Brown,Beige,0,1,25000,350.0,6.7,6.0
Dodge,Ram 1500 ST,2011,188000,Gasoline,A/T,Silver,Black,1,1,8500,210.0,3.7,6.0
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,157405,Gasoline,A/T,Black,Black,0,1,10750,248.0,3.5,6.0
Dodge,Challenger SRT Hellcat,2016,8228,Gasoline,8-Speed A/T,Blue,Black,0,1,62500,707.0,6.2,8.0
Land,Rover Range Rover 3.0L Supercharged HSE,2018,73101,Gasoline,A/T,Blue,Beige,0,1,42950,380.0,3.0,6.0
BMW,M4 Base,2018,10950,Gasoline,6-Speed M/T,White,White,0,1,60995,425.0,3.0,6.0
Mercedes-Benz,S-Class S 560 4MATIC,2018,63160,Gasoline,A/T,Black,Unknown,1,1,47000,463.0,4.0,8.0
Land,Rover Range Rover 5.0L V8 Supercharged,2019,31866,Gasoline,"Automatic, 8-Spd",Unknown,Unknown,0,0,68900,380.0,5.0,8.0
Chevrolet,Express 3500 Base,2009,75000,Gasoline,A/T,White,Gray,0,1,18900,319.0,6.0,8.0
Toyota,4Runner TRD Pro,2016,98000,Gasoline,A/T,Black,Black,1,1,36000,270.0,4.0,6.0
Mazda,MX-5 Miata Grand Touring,2012,33576,Gasoline,6-Speed M/T,Red,Beige,0,1,18900,167.0,2.0,4.0
Volkswagen,Touareg VR6 Lux,2012,123200,Gasoline,A/T,Gray,Beige,1,1,12449,280.0,3.6,6.0
Jaguar,XJ Base,2013,112000,Gasoline,A/T,Blue,White,0,1,8800,340.0,3.0,6.0
Chevrolet,Camaro 2SS,2010,68000,Gasoline,6-Speed A/T,Gray,Gray,1,1,19500,426.0,6.2,8.0
INFINITI,G37 x,2012,120000,Gasoline,Transmission w/Dual Shift Mode,Red,Black,1,1,14500,328.0,3.7,6.0
BMW,X6 xDrive50i,2019,45000,Gasoline,8-Speed A/T,Silver,Black,1,1,46999,445.0,4.4,8.0
Chevrolet,Camaro LT1,2022,6700,Gasoline,10-Speed A/T,Gray,Black,0,1,39500,455.0,6.2,8.0
Porsche,Taycan Base,2021,6785,Electric,2-Speed Automatic,Gentian Blue Metallic,Black,0,0,108900,365.0,0.0,0.0
Mercedes-Benz,S-Class S 63 AMG,2015,40900,Gasoline,7-Speed A/T,White,Unknown,0,1,59750,577.0,5.5,8.0
Cadillac,Escalade ESV Premium Luxury,2018,74150,Gasoline,10-Speed A/T,Gold,Brown,0,1,45000,420.0,6.2,8.0
Toyota,Camry Hybrid XLE,2014,94448,Hybrid,A/T,Silver,Gray,0,1,15999,200.0,2.5,4.0
Audi,A6 3.0T Prestige,2015,108000,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,0,1,19998,310.0,3.0,6.0
BMW,X5 M Base,2012,118000,Gasoline,Transmission w/Dual Shift Mode,White,Orange,1,1,17000,555.0,4.4,8.0
Jaguar,F-PACE SVR,2020,38800,Gasoline,Transmission w/Dual Shift Mode,Black,Black,0,1,57500,550.0,5.0,8.0
BMW,740 i,2017,55000,Gasoline,Transmission w/Dual Shift Mode,White,Black,0,1,40000,320.0,3.0,6.0
BMW,M340 i xDrive,2021,34967,Hybrid,8-Speed A/T,Blue,Beige,1,1,49999,382.0,3.0,6.0
Jeep,Wrangler Unlimited Sport,2016,85325,Gasoline,5-Speed A/T,Black,Black,0,1,30000,285.0,3.6,6.0
RAM,2500 Tradesman,2018,63750,Gasoline,6-Speed A/T,Gray,Gray,0,1,36000,410.0,6.4,8.0
Ford,Mustang V6,2016,87248,Gasoline,6-Speed A/T,Black,Black,0,1,19999,300.0,3.7,6.0
BMW,328 i,1997,206000,Gasoline,5-Speed M/T,Red,Black,1,1,15900,190.0,2.8,6.0
Mercedes-Benz,GL-Class GL 450,2011,112854,Gasoline,7-Speed A/T,White,Black,0,1,11999,335.0,4.7,8.0
Rivian,R1S Adventure Package,2023,1150,Electric,A/T,Green,Black,0,1,96850,835.0,0.0,0.0
Tesla,Model Y Long Range,2023,10000,Electric,A/T,Blue,Black,0,1,48000,425.0,0.0,0.0
Mercedes-Benz,E-Class E 350,2022,14100,Gasoline,9-Speed A/T,Gray,Black,0,1,53000,255.0,2.0,4.0
BMW,X7 xDrive40i,2023,14360,Hybrid,8-Speed A/T,Black,Black,0,1,85495,375.0,3.0,6.0
Chevrolet,Trailblazer RS,2023,10000,Gasoline,9-Speed A/T,Blue,Black,0,1,32000,155.0,1.3,3.0
Chevrolet,Suburban 1500 LTZ,2015,217500,Gasoline,A/T,Black,Black,0,1,20000,355.0,5.3,8.0
Chevrolet,Suburban Premier,2021,73846,Gasoline,10-Speed Automatic,Midnight Blue Metallic,Jet Black,0,1,60995,355.0,5.3,8.0
Jeep,Gladiator Overland,2020,40000,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,0,1,45000,285.0,3.6,6.0
GMC,Yukon XL AT4,2023,9980,Gasoline,10-Speed A/T,Black,Black,0,1,82000,355.0,5.3,8.0
Mazda,Mazda6 Grand Touring Reserve,2019,41997,Gasoline,6-Speed A/T,Black,Black,0,1,24995,227.0,2.5,4.0
Alfa,Romeo Giulia Ti,2021,2000,Gasoline,8-Speed A/T,Blue,Brown,0,1,39000,280.0,2.0,4.0
Mercedes-Benz,CLA-Class CLA 250,2016,42750,Gasoline,Transmission w/Dual Shift Mode,Black,Black,1,1,22999,208.0,2.0,4.0
BMW,330 330i xDrive,2019,19473,Gasoline,Automatic,Alpine White,Canberra Beige,0,0,31698,335.0,2.0,4.0
Volkswagen,Beetle 2.0T S,2019,35340,Gasoline,A/T,Black,Gray,0,1,23000,174.0,2.0,4.0
Mercedes-Benz,CLK-Class CLK 350,2008,93000,Gasoline,7-Speed A/T,White,Beige,1,1,12000,268.0,3.5,6.0
Audi,RS 7 4.0T Prestige,2014,66150,Gasoline,8-Speed A/T,White,Black,1,1,47995,560.0,4.0,8.0
Volvo,XC60 Recharge Plug-In Hybrid T8 Inscription,2022,19352,Plug-In Hybrid,8-Speed A/T,Blue,Beige,0,1,54599,455.0,2.0,4.0
Land,Rover Range Rover Supercharged LWB,2020,81000,Gasoline,A/T,Black,Black,0,1,64800,518.0,5.0,8.0
Toyota,Sequoia Limited,2011,183000,Gasoline,6-Speed A/T,Gold,Beige,0,1,16000,381.0,5.7,8.0
Jeep,Wrangler X,2004,44000,Gasoline,M/T,Green,Green,1,1,24999,190.0,4.0,6.0
Audi,S5 3.0T Premium,2021,18100,Gasoline,8-Speed A/T,Gray,Gray,0,1,51800,349.0,3.0,6.0
Land,Rover Range Rover Sport Supercharged,2011,40000,Gasoline,Transmission w/Dual Shift Mode,Blue,Brown,1,1,20000,510.0,5.0,8.0
